hotelid,360,350,340,330,320,310,300,290,280,270,260,250,230,220,210,200,190,180,170,160,150,140,120,110,100,90,80,76,72,70,68,60,54,50,44,42,40,38,36,34,32,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
35,263.0,263.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,124.0,105.0,105.0,105.0,97.0,97.0,97.0,114.0,96.0,105.0,124.0,105.0,105.0,124.0,114.0,114.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,71.0,101.0,71.0,71.0,101.0,101.0,101.0,101.0,101.0,93.0,93.0,93.0,93.0,88.0,88.0,104.0,104.0,104.0,104.0,62.0,104.0,114.0
36,,,,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,90.0,90.0,90.0,,100.0,100.0,121.0,121.0,121.0,,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,121.0,121.0,121.0,121.0,
38,152.0,152.0,152.0,152.0,152.0,,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,152.0,137.0,137.0,137.0,,111.0,111.0,122.0,111.0,111.0,111.0,111.0,111.0,85.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,120.0,120.0,137.0,137.0,137.0,152.0,152.0,152.0
39,110.0,110.0,110.0,110.0,110.0,110.0,110.0,135.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,129.0,110.0,110.0,110.0,,110.0,110.0,129.0,110.0,110.0,110.0,110.0,110.0,90.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,129.0,129.0,
40,104.0,138.0,138.0,138.0,138.0,138.0,138.0,122.0,122.0,122.0,122.0,117.0,115.0,120.0,108.0,108.0,108.0,108.0,135.0,108.0,108.0,108.0,99.0,99.0,99.0,124.0,84.0,73.0,,77.0,81.0,92.0,91.0,91.0,100.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,71.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,73.0,73.0,73.0,73.0,73.0,73.0,81.0,89.0,86.0,86.0,78.0,86.0,73.0,75.0,87.0,79.0,79.0,81.0,102.0,114.0,79.0
41,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,88.0,88.0,88.0,88.0,88.0,88.0,98.0,88.0,88.0,88.0,,84.0,84.0,94.0,80.0,88.0,88.0,88.0,88.0,83.0,83.0,83.0,83.0,83.0,62.0,83.0,83.0,83.0,,83.0,83.0,83.0,83.0,83.0,83.0,74.0,74.0,112.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,55.0,55.0,83.0,83.0,
42,108.0,108.0,108.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,155.0,155.0,125.0,125.0,125.0,,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
43,173.0,173.0,173.0,173.0,173.0,173.0,173.0,182.0,182.0,182.0,182.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,135.0,111.0,
44,,,,,,,,,,,,,,,,,,80.0,89.0,80.0,80.0,80.0,77.0,80.0,80.0,89.0,80.0,80.0,,80.0,80.0,80.0,80.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,71.0,71.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,71.0,71.0,71.0,67.0,74.0,69.0,69.0,69.0,69.0
46,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,80.0,80.0,80.0,80.0,82.0,82.0,95.0,82.0,82.0,82.0,82.0,82.0,82.0,95.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,84.0,84.0,74.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,74.0,95.0,100.0,100.0
47,319.0,319.0,319.0,319.0,319.0,319.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,183.0,183.0,183.0,183.0,215.0,183.0,183.0,183.0,,145.0,145.0,170.0,143.0,143.0,,137.0,137.0,137.0,135.0,135.0,149.0,137.0,135.0,135.0,135.0,135.0,135.0,159.0,225.0,205.0,205.0,205.0,205.0,141.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,177.0,177.0,177.0,177.0,150.0,150.0,165.0,150.0,146.0,141.0,141.0,150.0,155.0,150.0,150.0,154.0
48,,,,,,,,,,,,,89.0,94.0,89.0,89.0,89.0,89.0,99.0,89.0,89.0,89.0,,,,,,,,,,,,,,,,,69.0,69.0,69.0,73.0,73.0,66.0,69.0,69.0,66.0,69.0,66.0,69.0,66.0,66.0,69.0,69.0,70.0,73.0,67.0,65.0,67.0,67.0,,76.0,71.0,69.0,,91.0,73.0,77.0,,67.0,62.0
