hotelid,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,130,120,110,100,90,80,76,70,68,60,56,52,38,36,34,32,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
35,263.0,263.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,84.0,88.0,88.0,88.0,88.0,81.0,85.0,109.0,85.0,84.0,93.0,93.0,93.0,109.0,109.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,71.0,110.0,77.0,77.0,110.0,101.0,93.0,93.0,109.0,109.0,109.0,109.0,109.0,99.0,99.0
37,,,,,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,72.0,80.0,72.0,72.0,,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,,72.0,80.0,80.0,80.0,80.0,80.0
38,,,,,,,,,,,,,,,,,,,,,,,,,111.0,111.0,122.0,111.0,111.0,,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,137.0,137.0,137.0,152.0,152.0,152.0
39,,,,93.0,93.0,93.0,93.0,110.0,135.0,135.0,135.0,135.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,129.0,110.0,93.0,110.0,110.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,109.0,109.0,109.0
40,94.0,94.0,138.0,138.0,138.0,138.0,138.0,135.0,104.0,82.0,82.0,85.0,85.0,85.0,84.0,81.0,76.0,76.0,84.0,84.0,84.0,87.0,79.0,95.0,92.0,99.0,135.0,85.0,76.0,65.0,61.0,77.0,88.0,88.0,95.0,89.0,87.0,88.0,88.0,87.0,87.0,87.0,87.0,87.0,95.0,65.0,65.0,73.0,73.0,73.0,80.0,73.0,73.0,80.0,73.0,70.0,77.0,70.0,70.0,70.0,72.0,75.0,78.0,75.0,75.0,75.0,75.0,75.0
41,50.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,83.0,88.0,84.0,84.0,98.0,84.0,80.0,88.0,88.0,,74.0,74.0,74.0,74.0,55.0,74.0,74.0,74.0,74.0,,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,112.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
42,108.0,108.0,108.0,108.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
43,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,111.0,111.0,111.0,111.0,111.0,118.0,118.0,118.0,118.0,118.0,120.0,120.0,120.0,120.0,85.0,120.0,110.0,110.0,141.0,110.0,109.0,113.0,109.0,,110.0,110.0,126.0,138.0,126.0,127.0,127.0,126.0,126.0,126.0,,126.0,138.0,126.0,126.0,126.0,126.0,98.0,98.0,126.0,126.0,138.0,126.0,126.0,110.0,100.0,117.0,100.0,103.0,100.0,103.0,100.0,100.0,84.0,75.0,108.0
44,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,64.0,58.0,62.0,62.0,62.0,,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,,62.0,62.0,62.0,62.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,62.0,69.0,69.0,64.0,64.0,64.0
46,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,95.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,74.0,74.0,74.0,85.0,,85.0
47,319.0,319.0,319.0,319.0,319.0,319.0,234.0,234.0,234.0,234.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,152.0,145.0,185.0,145.0,143.0,148.0,143.0,137.0,137.0,137.0,149.0,149.0,135.0,137.0,149.0,141.0,141.0,141.0,141.0,,155.0,141.0,141.0,141.0,141.0,141.0,155.0,141.0,141.0,185.0,168.0,168.0,185.0,168.0,168.0,159.0,165.0,159.0,155.0,150.0,150.0,141.0,141.0,141.0
48,,,,80.0,80.0,80.0,80.0,80.0,80.0,151.0,151.0,,,,,,,,,,,,,,,,,,,,,66.0,66.0,66.0,62.0,68.0,64.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,68.0,64.0,69.0,69.0,69.0,69.0,73.0,66.0,66.0,73.0,69.0,66.0,73.0,69.0,69.0,71.0,61.0,65.0,61.0,65.0,60.0,67.0,60.0,
49,,,,,,,,,,,,,,,,,,,,,,,,93.0,86.0,86.0,104.0,86.0,85.0,88.0,85.0,,86.0,86.0,93.0,93.0,85.0,86.0,86.0,85.0,85.0,85.0,,85.0,93.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,88.0,88.0,88.0,88.0,85.0,85.0,88.0,85.0,88.0,85.0,85.0,85.0,85.0,85.0
53,,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,78.0,78.0,95.0,78.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0
55,,,,,,,,,,,,,,106.0,101.0,106.0,101.0,106.0,106.0,125.0,135.0,135.0,125.0,125.0,103.0,103.0,125.0,103.0,102.0,106.0,102.0,103.0,103.0,103.0,102.0,112.0,102.0,103.0,103.0,102.0,102.0,102.0,,102.0,112.0,102.0,94.0,94.0,94.0,94.0,103.0,94.0,94.0,103.0,94.0,94.0,103.0,94.0,109.0,109.0,113.0,109.0,117.0,107.0,114.0,114.0,133.0,146.0
56,121.0,121.0,121.0,121.0,121.0,121.0,121.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,106.0,92.0,92.0,92.0,92.0,92.0,85.0,92.0,115.0,92.0,92.0,92.0,92.0,,82.0,82.0,82.0,82.0,82.0,82.0,82.0,88.0,76.0,76.0,76.0,76.0,88.0,88.0,88.0,73.0,73.0,73.0,73.0,88.0,88.0,88.0,73.0,76.0,76.0,76.0,88.0,88.0,88.0,103.0,76.0,76.0,76.0,103.0,103.0,103.0
