hotelid,360,350,340,330,320,310,300,290,280,270,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,72,68,64,56,54,52,50,48,46,44,42,40,38,36,34,32,30,28,27,26,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
46,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,95.0,95.0,95.0,,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,72.0,72.0,72.0,72.0,72.0,72.0,82.0,82.0,82.0,84.0,,,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,85.0,95.0,85.0
47,319.0,319.0,319.0,319.0,191.0,191.0,191.0,191.0,183.0,183.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,149.0,175.0,175.0,161.0,149.0,137.0,137.0,135.0,137.0,137.0,135.0,149.0,149.0,135.0,135.0,,149.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,195.0,150.0,150.0,150.0,150.0,141.0,155.0,141.0,141.0,141.0,150.0,141.0,154.0,154.0,169.0,141.0,141.0,,170.0,,,,,141.0,159.0
49,,,,,,,,,,,,,,,,,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,93.0,93.0,86.0,83.0,76.0,76.0,75.0,76.0,76.0,75.0,83.0,83.0,75.0,75.0,,88.0,88.0,88.0,88.0,88.0,88.0,88.0,85.0,85.0,93.0,85.0,85.0,85.0,85.0,85.0,93.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,93.0,,85.0,,86.0,,85.0,93.0,85.0,85.0,85.0
53,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,95.0,87.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,,95.0,95.0,96.0,,96.0,96.0,101.0,101.0,101.0
55,,,,,,,,,,,,97.0,97.0,93.0,97.0,97.0,97.0,114.0,125.0,125.0,125.0,114.0,114.0,103.0,114.0,114.0,,103.0,95.0,95.0,94.0,95.0,95.0,94.0,103.0,103.0,94.0,94.0,94.0,103.0,94.0,94.0,94.0,94.0,89.0,89.0,89.0,89.0,98.0,98.0,98.0,98.0,109.0,99.0,120.0,109.0,109.0,109.0,,98.0,89.0,89.0,108.0,109.0,109.0,109.0,110.0,,95.0,104.0,95.0,,114.0
56,178.0,103.0,103.0,103.0,103.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,102.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,109.0,109.0,109.0,,87.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,76.0,76.0,82.0,73.0,73.0,82.0,82.0,76.0,76.0,88.0,88.0,103.0,80.0,88.0,88.0,88.0,88.0,76.0,76.0,76.0,88.0,88.0,80.0,80.0,103.0,103.0,103.0,88.0,76.0,76.0,,,76.0,76.0,97.0,97.0
57,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,104.0,104.0,104.0,88.0,88.0,88.0,88.0,81.0,81.0,80.0,88.0,88.0,80.0,80.0,80.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,104.0,104.0,104.0
58,,,,,,,,64.0,64.0,64.0,64.0,81.0,64.0,64.0,64.0,64.0,64.0,64.0,69.0,72.0,68.0,64.0,72.0,64.0,115.0,75.0,,64.0,,64.0,69.0,64.0,64.0,64.0,64.0,64.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,63.0,65.0,74.0,74.0,72.0,71.0,71.0,68.0,68.0,64.0,68.0,68.0,64.0,68.0,68.0,68.0,71.0,71.0,71.0,71.0,67.0,69.0,,64.0,64.0,64.0,66.0,,69.0,69.0
59,,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,112.0,112.0,107.0,107.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,107.0,112.0,112.0,112.0,125.0,125.0,125.0,112.0,112.0,100.0,100.0,100.0,100.0,87.0,87.0,87.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,125.0
60,,,,,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,89.0,89.0,85.0,85.0,85.0,85.0,95.0,95.0,,85.0,78.0,78.0,77.0,82.0,82.0,77.0,85.0,85.0,77.0,77.0,77.0,85.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,85.0,77.0,77.0,77.0,77.0,77.0,85.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,,77.0,77.0,,78.0,77.0,77.0,85.0,77.0,77.0,
