hotelid,360,350,340,330,320,310,300,290,280,260,250,230,220,210,200,190,180,170,160,150,130,120,110,100,90,80,76,68,64,60,56,54,52,40,36,34,32,30,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,6,5,4,3,2,1,0
35,263.0,263.0,80.0,80.0,80.0,80.0,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,94.0,80.0,80.0,81.0,81.0,85.0,100.0,99.0,105.0,124.0,,105.0,124.0,109.0,109.0,93.0,93.0,93.0,93.0,93.0,93.0,,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,74.0,105.0,74.0,74.0,105.0,105.0,97.0,97.0,105.0,97.0,114.0,114.0,114.0,104.0,94.0,94.0,94.0
37,72.0,80.0,72.0,80.0,72.0,72.0,72.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,121.0,121.0,121.0,121.0,121.0
38,132.0,132.0,132.0,132.0,132.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,132.0,120.0,120.0,120.0,111.0,111.0,122.0,111.0,111.0,111.0,,111.0,85.0,85.0,85.0,111.0,111.0,111.0,111.0,111.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,137.0,152.0,212.0,212.0
39,93.0,93.0,93.0,93.0,93.0,93.0,93.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,129.0,110.0,110.0,110.0,110.0,110.0,129.0,93.0,93.0,93.0,93.0,93.0,76.0,76.0,76.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,98.0,98.0,98.0,98.0,98.0,,98.0,98.0,98.0,98.0,98.0,109.0,109.0,109.0
40,79.0,80.0,114.0,114.0,114.0,114.0,114.0,102.0,102.0,82.0,79.0,79.0,88.0,92.0,79.0,76.0,76.0,76.0,95.0,76.0,76.0,70.0,70.0,70.0,87.0,64.0,68.0,60.0,55.0,70.0,70.0,70.0,73.0,68.0,71.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,78.0,86.0,86.0,86.0,78.0,78.0,78.0,81.0,81.0,81.0,81.0,81.0,89.0,81.0,89.0,87.0,90.0,90.0,90.0,90.0,87.0,87.0
41,50.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,71.0,64.0,102.0,98.0,98.0,98.0,108.0,96.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,74.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,74.0,74.0,112.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
42,108.0,108.0,108.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,145.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
43,81.0,81.0,81.0,81.0,,81.0,81.0,85.0,85.0,199.0,199.0,212.0,212.0,212.0,212.0,212.0,213.0,213.0,251.0,213.0,232.0,213.0,196.0,196.0,231.0,200.0,213.0,213.0,196.0,196.0,196.0,196.0,213.0,194.0,213.0,196.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,213.0,,,,,,,,,,,,194.0,213.0,,,,,,,
44,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,99.0,89.0,80.0,77.0,80.0,80.0,89.0,80.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,58.0,64.0,64.0,64.0,64.0,64.0
